iter	Passed	Remaining
0	143	143127
1	163	81567
2	167	55785
3	176	43936
4	182	36352
5	192	31968
6	200	28504
7	203	25202
8	214	23666
9	225	22345
10	234	21055
11	244	20100
12	252	19137
13	261	18394
14	271	17832
15	291	17948
16	291	16866
17	301	16441
18	313	16180
19	319	15640
20	327	15270
21	335	14931
22	346	14726
23	355	14457
24	368	14374
25	380	14256
26	389	14045
27	395	13718
28	403	13521
29	412	13335
30	421	13166
31	430	13014
32	439	12870
33	446	12687
34	452	12484
35	462	12381
36	469	12221
37	479	12147
38	486	11990
39	493	11844
40	503	11786
41	514	11740
42	523	11652
43	533	11584
44	538	11418
45	545	11317
46	556	11285
47	568	11276
48	576	11188
49	584	11097
50	598	11143
51	600	10955
52	610	10901
53	619	10853
54	632	10860
55	643	10852
56	648	10722
57	657	10682
58	666	10631
59	678	10633
60	690	10628
61	700	10604
62	706	10503
63	740	10831
64	749	10781
65	761	10781
66	771	10739
67	782	10719
68	789	10655
69	800	10629
70	809	10597
71	819	10562
72	830	10548
73	840	10520
74	850	10488
75	862	10482
76	870	10433
77	879	10396
78	889	10374
79	901	10362
80	912	10358
81	926	10370
82	936	10349
83	946	10325
84	958	10314
85	968	10289
86	978	10268
87	986	10222
88	993	10173
89	1001	10122
90	1009	10086
91	1023	10101
92	1032	10073
93	1044	10062
94	1055	10059
95	1064	10020
96	1069	9958
97	1075	9899
98	1084	9872
99	1097	9877
100	1107	9861
101	1116	9826
102	1125	9805
103	1132	9759
104	1138	9708
105	1149	9698
106	1160	9681
107	1168	9648
108	1179	9642
109	1192	9651
110	1198	9600
111	1205	9559
112	1214	9533
113	1226	9531
114	1233	9490
115	1239	9446
116	1247	9412
117	1257	9401
118	1266	9379
119	1274	9347
120	1284	9330
121	1295	9321
122	1304	9303
123	1314	9286
124	1322	9257
125	1333	9246
126	1342	9230
127	1351	9209
128	1363	9208
129	1372	9188
130	1383	9177
131	1393	9161
132	1402	9140
133	1410	9114
134	1418	9087
135	1426	9059
136	1435	9042
137	1444	9024
138	1449	8980
139	1460	8969
140	1467	8943
141	1474	8911
142	1484	8897
143	1496	8893
144	1507	8891
145	1518	8883
146	1527	8860
147	1535	8841
148	1548	8843
149	1556	8819
150	1560	8776
151	1568	8753
152	1577	8734
153	1592	8745
154	1597	8709
155	1609	8705
156	1618	8688
157	1626	8667
158	1635	8651
159	1644	8636
160	1654	8622
161	1663	8605
162	1677	8613
163	1684	8588
164	1691	8561
165	1703	8556
166	1714	8551
167	1723	8534
168	1733	8522
169	1743	8514
170	1752	8496
171	1764	8492
172	1773	8479
173	1783	8464
174	1790	8442
175	1794	8400
176	1803	8384
177	1812	8369
178	1820	8351
179	1829	8333
180	1839	8324
181	1849	8311
182	1858	8298
183	1868	8288
184	1880	8283
185	1887	8258
186	1899	8257
187	1907	8239
188	1921	8244
189	1932	8239
190	1943	8231
191	1952	8218
192	1961	8202
193	1971	8192
194	1978	8168
195	1983	8136
196	1992	8123
197	2004	8118
198	2012	8101
199	2016	8067
200	2025	8053
201	2036	8044
202	2044	8025
203	2052	8009
204	2063	8004
205	2074	7996
206	2083	7980
207	2090	7958
208	2098	7942
209	2108	7932
210	2115	7912
211	2126	7904
212	2133	7884
213	2140	7862
214	2147	7842
215	2159	7837
216	2167	7820
217	2173	7795
218	2184	7789
219	2197	7789
220	2205	7772
221	2218	7774
222	2226	7756
223	2237	7750
224	2244	7730
225	2252	7715
226	2258	7691
227	2267	7676
228	2277	7666
229	2284	7649
230	2292	7632
231	2301	7620
232	2310	7606
233	2318	7589
234	2324	7566
235	2333	7555
236	2345	7552
237	2354	7538
238	2361	7519
239	2373	7516
240	2384	7508
241	2392	7492
242	2404	7490
243	2413	7477
244	2420	7457
245	2428	7443
246	2438	7435
247	2447	7421
248	2458	7414
249	2467	7403
250	2475	7388
251	2488	7386
252	2499	7378
253	2510	7372
254	2515	7349
255	2525	7340
256	2535	7328
257	2546	7322
258	2553	7306
259	2559	7284
260	2571	7279
261	2579	7266
262	2595	7272
263	2603	7258
